X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-666308.741531288,4493120.02671657,787,A1,101,42,Menéndez Pelayo (Puerta de La Carne),618,10111,10110,112
-666308.741531288,4493120.02671657,1192,A1,101,42,Menéndez Pelayo (Puerta de La Carne),618,10113,10111,113
-666308.741531288,4493120.02671657,816,A3,103,42,Menéndez Pelayo (Puerta de La Carne),618,10311,10310,114
-666308.741531288,4493120.02671657,1149,A3,103,42,Menéndez Pelayo (Puerta de La Carne),618,10313,10311,115
-666308.741531288,4493120.02671657,939,A8,110,42,Menéndez Pelayo (Puerta de La Carne),618,11011,11010,116
-666308.741531288,4493120.02671657,953,A8,110,42,Menéndez Pelayo (Puerta de La Carne),618,11013,11011,117
-666165.422106276,4493560.95606984,4333,01,1,43,Recaredo (Puerta Carmona),618,112,110,118
-666165.422106276,4493560.95606984,911,C4,84,43,Recaredo (Puerta Carmona),618,8412,8410,119
-666165.422106276,4493560.95606984,1155,A1,101,43,Recaredo (Puerta Carmona),618,10111,10110,120
-666165.422106276,4493560.95606984,1560,A1,101,43,Recaredo (Puerta Carmona),618,10113,10111,121
-666165.422106276,4493560.95606984,1307,A8,110,43,Recaredo (Puerta Carmona),618,11011,11010,122
-666165.422106276,4493560.95606984,1321,A8,110,43,Recaredo (Puerta Carmona),618,11013,11011,123
-665071.417142347,4496773.6183202,3398,11,11,44,Comunidad Extremeña,618,1111,1110,124
-665071.417142347,4496773.6183202,0,11,11,44,Comunidad Extremeña,618,1112,1110,125
-665284.007625194,4496853.81379987,5333,13,13,45,Avenida La Barzola (Bahía de Cádiz),618,1312,1310,126
-665284.007625194,4496853.81379987,5384,A1,101,45,Avenida La Barzola (Bahía de Cádiz),618,10112,10110,127
-665284.007625194,4496853.81379987,5384,A1,101,45,Avenida La Barzola (Bahía de Cádiz),618,10114,10111,128
-665475.100188167,4496381.73849169,1187,11,11,46,Av. La Barzola (Pza. A. Martín Caro),618,1112,1110,129
-665475.100188167,4496381.73849169,5732,13,13,46,Av. La Barzola (Pza. A. Martín Caro),618,1312,1310,130
-665475.100188167,4496381.73849169,5783,A1,101,46,Av. La Barzola (Pza. A. Martín Caro),618,10112,10110,131
-665475.100188167,4496381.73849169,5783,A1,101,46,Av. La Barzola (Pza. A. Martín Caro),618,10114,10111,132
-665612.633760381,4495986.66572021,1568,11,11,47,Madreselva,618,1112,1110,133
-662143.613545442,4490269.13030511,5039,26,26,50,Carmen Vendrell,618,2611,2610,134
-662143.613545442,4490269.13030511,0,26,26,50,Carmen Vendrell,618,2612,2610,135
-665976.718192409,4487256.08991346,404,34,34,51,Chipre (Avenida Alemania),618,3412,3410,136
-664758.503051972,4496078.61637272,2331,12,12,52,San Juan de La Salle (Alc. M. del Valle),618,1211,1210,137
-664758.503051972,4496078.61637272,2252,16,16,52,San Juan de La Salle (Alc. M. del Valle),618,1611,1610,138
-664758.503051972,4496078.61637272,3553,A1,101,52,San Juan de La Salle (Alc. M. del Valle),618,10111,10110,139
-664758.503051972,4496078.61637272,3958,A1,101,52,San Juan de La Salle (Alc. M. del Valle),618,10113,10111,140
-666163.033446038,4491844.90976913,5531,01,1,53,Avenida La Borbolla (Capitanía),618,111,110,141
-666163.033446038,4491844.90976913,432,30,30,53,Avenida La Borbolla (Capitanía),618,3011,3010,142
-666163.033446038,4491844.90976913,454,31,31,53,Avenida La Borbolla (Capitanía),618,3111,3110,143
-666163.033446038,4491844.90976913,1881,37,37,53,Avenida La Borbolla (Capitanía),618,3711,3710,144
-666163.033446038,4491844.90976913,544,A6,106,53,Avenida La Borbolla (Capitanía),618,10611,10610,145
-666163.033446038,4491844.90976913,713,A6,106,53,Avenida La Borbolla (Capitanía),618,10613,10611,146
-666294.091107063,4491407.7929659,5891,01,1,54,Avenida La Borbolla (Montevideo),618,111,110,147
-666294.091107063,4491407.7929659,792,30,30,54,Avenida La Borbolla (Montevideo),618,3011,3010,148
-666294.091107063,4491407.7929659,814,31,31,54,Avenida La Borbolla (Montevideo),618,3111,3110,149
-666294.091107063,4491407.7929659,2241,37,37,54,Avenida La Borbolla (Montevideo),618,3711,3710,150
-666294.091107063,4491407.7929659,904,A6,106,54,Avenida La Borbolla (Montevideo),618,10611,10610,151
-666294.091107063,4491407.7929659,1073,A6,106,54,Avenida La Borbolla (Montevideo),618,10613,10611,152
-666315.907500869,4491136.34083265,6106,01,1,55,Avenida La Borbolla (Plaza América),618,111,110,153
-666315.907500869,4491136.34083265,1029,31,31,55,Avenida La Borbolla (Plaza América),618,3111,3110,154
-666315.907500869,4491136.34083265,2456,37,37,55,Avenida La Borbolla (Plaza América),618,3711,3710,155
-666315.907500869,4491136.34083265,1119,A6,106,55,Avenida La Borbolla (Plaza América),618,10611,10610,156
-666315.907500869,4491136.34083265,1288,A6,106,55,Avenida La Borbolla (Plaza América),618,10613,10611,157
-666282.466302071,4490470.03038248,6634,01,1,56,Manuel Siurot (Edificio La Estrella),618,111,110,158
-666282.466302071,4490470.03038248,2984,37,37,56,Manuel Siurot (Edificio La Estrella),618,3711,3710,159
-666282.466302071,4490470.03038248,1647,A6,106,56,Manuel Siurot (Edificio La Estrella),618,10611,10610,160
-666282.466302071,4490470.03038248,1816,A6,106,56,Manuel Siurot (Edificio La Estrella),618,10613,10611,161
-666071.04360521,4489996.10471298,7045,01,1,57,Manuel Siurot (Cardenal Ilundain),618,111,110,162
-666071.04360521,4489996.10471298,3395,37,37,57,Manuel Siurot (Cardenal Ilundain),618,3711,3710,163
-666071.04360521,4489996.10471298,2058,A6,106,57,Manuel Siurot (Cardenal Ilundain),618,10611,10610,164
-666071.04360521,4489996.10471298,2227,A6,106,57,Manuel Siurot (Cardenal Ilundain),618,10613,10611,165
-665864.451305957,4489556.92774779,7430,01,1,58,Manuel Siurot (Hospital V.Rocio),618,111,110,166
-665864.451305957,4489556.92774779,3780,37,37,58,Manuel Siurot (Hospital V.Rocio),618,3711,3710,167
-665864.451305957,4489556.92774779,2443,A6,106,58,Manuel Siurot (Hospital V.Rocio),618,10611,10610,168
-665864.451305957,4489556.92774779,2612,A6,106,58,Manuel Siurot (Hospital V.Rocio),618,10613,10611,169
-665643.739387208,4489067.01596511,7856,01,1,59,Manuel Siurot (Carretera Su Eminencia),618,111,110,170
-665643.739387208,4489067.01596511,4206,37,37,59,Manuel Siurot (Carretera Su Eminencia),618,3711,3710,171
-665643.739387208,4489067.01596511,2869,A6,106,59,Manuel Siurot (Carretera Su Eminencia),618,10611,10610,172
-665643.739387208,4489067.01596511,3038,A6,106,59,Manuel Siurot (Carretera Su Eminencia),618,10613,10611,173
-665944.126294533,4489043.50931893,14114,02,2,60,Padre G. Tejero (Est. Benito Villamarín),618,211,210,174
-665944.126294533,4489043.50931893,11912,06,6,60,Padre G. Tejero (Est. Benito Villamarín),618,611,610,175
-665944.126294533,4489043.50931893,0,06,6,60,Padre G. Tejero (Est. Benito Villamarín),618,612,610,176
-666404.287818341,4488898.19668454,6278,03,3,61,Reina Mercedes (Gta. Alc. Parias Merry),618,311,310,177
-666404.287818341,4488898.19668454,3676,34,34,61,Reina Mercedes (Gta. Alc. Parias Merry),618,3412,3410,178
-666404.287818341,4488898.19668454,6974,A6,106,61,Reina Mercedes (Gta. Alc. Parias Merry),618,10612,10610,179
-666404.287818341,4488898.19668454,6974,A6,106,61,Reina Mercedes (Gta. Alc. Parias Merry),618,10614,10611,180
-666389.955879179,4489227.82418832,696,06,6,62,Reina Mercedes (E.S.I. Informática),618,612,610,181
-666389.955879179,4489227.82418832,3937,34,34,62,Reina Mercedes (E.S.I. Informática),618,3412,3410,182
-666389.955879179,4489227.82418832,7235,A6,106,62,Reina Mercedes (E.S.I. Informática),618,10612,10610,183
-666389.955879179,4489227.82418832,7235,A6,106,62,Reina Mercedes (E.S.I. Informática),618,10614,10611,184
-666374.403065766,4489658.97331834,6881,03,3,63,Reina Mercedes (Escuela de Arquitectura),618,311,310,185
-666374.403065766,4489658.97331834,1038,06,6,63,Reina Mercedes (Escuela de Arquitectura),618,612,610,186
-666374.403065766,4489658.97331834,4279,34,34,63,Reina Mercedes (Escuela de Arquitectura),618,3412,3410,187
-666374.403065766,4489658.97331834,7577,A6,106,63,Reina Mercedes (Escuela de Arquitectura),618,10612,10610,188
-666374.403065766,4489658.97331834,7577,A6,106,63,Reina Mercedes (Escuela de Arquitectura),618,10614,10611,189
-666108.094338497,4490138.22674286,1067,01,1,64,Manuel Siurot (Gustavo Gallardo),618,112,110,190
-666108.094338497,4490138.22674286,7435,37,37,64,Manuel Siurot (Gustavo Gallardo),618,3712,3710,191
-666253.218530754,4490455.06960965,1345,01,1,65,Manuel Siurot (Edificio La Estrella),618,112,110,192
-666253.218530754,4490455.06960965,7713,37,37,65,Manuel Siurot (Edificio La Estrella),618,3712,3710,193
-666290.800068769,4491135.27213655,1890,01,1,66,Avenida La Borbolla (Felipe Ii),618,112,110,194
-666290.800068769,4491135.27213655,2796,30,30,66,Avenida La Borbolla (Felipe Ii),618,3012,3010,195
-666290.800068769,4491135.27213655,4988,31,31,66,Avenida La Borbolla (Felipe Ii),618,3112,3110,196
-666290.800068769,4491135.27213655,8258,37,37,66,Avenida La Borbolla (Felipe Ii),618,3712,3710,197
-666290.800068769,4491135.27213655,3154,A5,105,66,Avenida La Borbolla (Felipe Ii),618,10512,10510,198
-666290.800068769,4491135.27213655,3154,A5,105,66,Avenida La Borbolla (Felipe Ii),618,10514,10511,199
-666270.523023146,4491394.43394136,2096,01,1,67,Avenida La Borbolla (Montevideo),618,112,110,200
-666270.523023146,4491394.43394136,3002,30,30,67,Avenida La Borbolla (Montevideo),618,3012,3010,201
-666270.523023146,4491394.43394136,5194,31,31,67,Avenida La Borbolla (Montevideo),618,3112,3110,202
-666270.523023146,4491394.43394136,8464,37,37,67,Avenida La Borbolla (Montevideo),618,3712,3710,203
-666270.523023146,4491394.43394136,3360,A5,105,67,Avenida La Borbolla (Montevideo),618,10512,10510,204
-666270.523023146,4491394.43394136,3360,A5,105,67,Avenida La Borbolla (Montevideo),618,10514,10511,205
-666057.932529167,4492081.11003394,2671,01,1,68,Avda. La Borbolla (Dr. Pedro de Castro),618,112,110,206
-666057.932529167,4492081.11003394,9039,37,37,68,Avda. La Borbolla (Dr. Pedro de Castro),618,3712,3710,207
-666057.932529167,4492081.11003394,3935,A5,105,68,Avda. La Borbolla (Dr. Pedro de Castro),618,10512,10510,208
-666057.932529167,4492081.11003394,3935,A5,105,68,Avda. La Borbolla (Dr. Pedro de Castro),618,10514,10511,209
-666706.214084981,4492249.44603639,0,C5,121,69,El Cid Av. (Rectorado),618,12111,12110,210
-666706.214084981,4492249.44603639,4467,C5,121,69,El Cid Av. (Rectorado),618,12112,12110,211
-666706.214084981,4492249.44603639,1290,CJ,128,69,El Cid Av. (Rectorado),618,12811,12810,212
-666706.214084981,4492249.44603639,1290,CJ1,135,69,El Cid Av. (Rectorado),618,13511,13510,213
